id_1,HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
270,2121110490,1984,0.5751,0.1782,0.7902
271,2120358840,1984,0.0837,0.0126,0.1116
272,2120358830,1984,0.0909,0.0306,0.0225
273,2120357850,1984,0.1071,0.0558,0.1701
274,2120357750,1984,0.0441,0.0279,0.0207
275,2120357960,1984,0.1485,0.1125,0.8361
276,2120358170,1984,0.0036,0.0072,0.0027
277,2121105960,1984,0.1422,0.1143,0.6093
278,2121106650,1984,0.126,0.1368,0.8865
279,2121105810,1984,0.0918,0.0378,0.0459
280,2120358160,1984,0.0459,0.0072,0
281,2120358040,1984,0.0189,0.0513,0.0135
282,2120357170,1984,0,0.0099,0.0261
283,2120357180,1984,0.0783,0.0144,0.0252
284,2120362160,1984,0.0333,0.0153,0.0468
285,2120362170,1984,0.0072,0.0045,0.0063
286,2120359260,1984,0.3402,0.0657,6.0669
287,2120359390,1984,0.0117,0.0072,0.0432
288,2121108850,1984,0.0207,0.0585,0.0297
289,2120364850,1984,0.4806,0.1008,2.4759
290,2120364590,1984,0.009,0.0432,0.036
291,2120049670,1984,0.3402,0.0207,0.0333
292,2120049680,1984,0.0999,0.0036,0.0018
293,2120383290,1984,0,0,0
294,2120383220,1984,0.1197,0.0081,0
295,2120383210,1984,0,0,0
296,2120383340,1984,0,0,0
297,2120380050,1984,0,0,0
298,2120379960,1984,0.0351,0,0.0045
299,2121115400,1984,0.2295,0.0153,0.0216
300,2120377570,1984,0.0018,0,0
301,2120377560,1984,0.2574,0.0162,0.0171
302,2120377150,1984,0.0081,0,0
303,2120377140,1984,0.6498,0.0522,0.1008
304,2121113660,1984,0.0558,0.0036,0.0018
305,2120372500,1984,0.0414,0.0027,0.0018
306,2120372490,1984,0.0495,0.0009,0.0423
307,2121113140,1984,0.2349,0.0306,0.0126
308,2121111920,1984,0.018,0.018,0.0495
309,2120377310,1984,0.1575,0.0072,0.0675
310,2120377420,1984,0.0468,0.2304,1.5903
311,2121111500,1984,0.0036,0.0099,0.0072
312,2120374990,1984,0.0261,0.0045,0.0036
313,2120375000,1984,0,0,0
314,2120373630,1984,0.0018,0,0
315,2120373940,1984,0.0054,0.0027,0
316,2120372710,1984,0.0117,0.0243,0.0684
317,2120372620,1984,0.0063,0.0243,0.0153
318,2121113040,1984,0,0.0018,0
319,2120370430,1984,1.0125,0.5031,7.3836
320,2120370320,1984,0.0018,0.0189,0.0072
321,2121111590,1984,0,0,0
322,2120049690,1984,0,0,0
323,2120049700,1984,0.4536,0.1629,0.1431
324,2120049710,1984,0.1314,0.0378,0.3627
325,2120388760,1984,0.0639,0.0018,0.0018
326,2120388770,1984,0.3771,0.0657,1.8774
327,2120386020,1984,0.0117,0,0
328,2120385930,1984,0.0054,0,0
